,NodeCount,ConnectedComponentCount,MortalityRate,TimeToDeath,TimeToRecovery,CommunicationTime,ResistantProportion,Time,Infected,Resistant,Recovered,Dead,Communication,Weighted
370,4039,1,0.2,25,25,1,0.1,246.7482881082201,3279,395,2640,639,83776,True
371,4039,1,0.2,25,25,1,0.1,236.5204284284601,3416,374,2751,665,82474,False
372,4039,1,0.2,25,25,1,0.1,201.88804235412923,2729,277,2142,587,69404,True
373,4039,1,0.2,25,25,1,0.1,222.2364809209173,3363,383,2670,693,84592,False
374,4039,1,0.2,25,25,1,0.1,187.79675591910097,632,71,491,141,15501,True
375,4039,1,0.2,25,25,1,0.1,269.9393306100634,3407,399,2743,664,85486,False
376,4039,1,0.2,25,25,1,0.1,194.69761237292022,653,78,545,108,16738,True
377,4039,1,0.2,25,25,1,0.1,222.69990566935874,3403,349,2757,646,87206,False
378,4039,1,0.2,25,25,1,0.1,321.5217504503718,3283,355,2622,661,80819,True
379,4039,1,0.2,25,25,1,0.1,291.1349269679275,3380,388,2747,633,84858,False
380,4039,1,0.2,25,25,1,0.1,206.99729333483637,3329,340,2677,652,82823,True
381,4039,1,0.2,25,25,1,0.1,227.11809823997118,3208,357,2570,638,80069,False
382,4039,1,0.2,25,25,1,0.1,211.5260323199204,3324,370,2704,620,84215,True
383,4039,1,0.2,25,25,1,0.1,261.1111028192322,3449,350,2764,685,88372,False
384,4039,1,0.2,25,25,1,0.1,243.8516239612246,3080,323,2493,587,78561,True
385,4039,1,0.2,25,25,1,0.1,245.2713518618081,3354,383,2698,656,85627,False
386,4039,1,0.2,25,25,1,0.1,277.05605148858757,3234,351,2594,640,83384,True
387,4039,1,0.2,25,25,1,0.1,296.9018394834843,3433,353,2719,714,87128,False
388,4039,1,0.2,25,25,1,0.1,234.4522709744739,3323,375,2631,692,84382,True
389,4039,1,0.2,25,25,1,0.1,253.03902054524298,3415,361,2722,693,87454,False
390,4039,1,0.2,25,25,1,0.1,219.76440565344916,2700,290,2169,531,66178,True
391,4039,1,0.2,25,25,1,0.1,1.5427884974402903,1,0,0,1,0,False
392,4039,1,0.2,25,25,1,0.1,232.7164807468669,3146,332,2535,611,79344,True
393,4039,1,0.2,25,25,1,0.1,261.57367784908416,3234,363,2603,631,78628,False
394,4039,1,0.2,25,25,1,0.1,241.43813300590222,3316,351,2662,654,82221,True
395,4039,1,0.2,25,25,1,0.1,243.57520012204733,3415,363,2704,711,86006,False
396,4039,1,0.2,25,25,1,0.1,242.02019751484178,3366,358,2666,700,84438,True
397,4039,1,0.2,25,25,1,0.1,239.86298677664848,3419,359,2717,702,85083,False
398,4039,1,0.2,25,25,1,0.1,304.40419376772957,3080,322,2423,657,75421,True
399,4039,1,0.2,25,25,1,0.1,264.0099541117104,3508,357,2793,715,86891,False
400,4039,1,0.2,25,25,1,0.1,238.06378775754007,3331,388,2658,673,81772,True
401,4039,1,0.2,25,25,1,0.1,299.6524631098913,3451,387,2749,702,86827,False
402,4039,1,0.2,25,25,1,0.1,271.38603506727424,3223,359,2538,685,77967,True
403,4039,1,0.2,25,25,1,0.1,197.12964398742395,3255,363,2603,652,80626,False
404,4039,1,0.2,25,25,1,0.1,3.9413305310128037,1,0,1,0,0,True
405,4039,1,0.2,25,25,1,0.1,203.10201199129054,3310,340,2655,655,81472,False
406,4039,1,0.2,25,25,1,0.1,294.7417452352491,3320,396,2639,681,83265,True
407,4039,1,0.2,25,25,1,0.1,237.27170488263033,2746,321,2218,528,66653,False
408,4039,1,0.2,25,25,1,0.1,227.2171452753536,3272,373,2627,645,81654,True
409,4039,1,0.2,25,25,1,0.1,202.62600942631812,2743,325,2202,541,68426,False
410,4039,1,0.2,25,25,1,0.1,213.54497787534683,3260,351,2613,647,82307,True
411,4039,1,0.2,25,25,1,0.1,261.99827750481904,3459,381,2756,703,85731,False
412,4039,1,0.2,25,25,1,0.1,64.16487437523193,18,2,14,4,278,True
413,4039,1,0.2,25,25,1,0.1,273.2711145220191,3332,386,2669,663,82453,False
414,4039,1,0.2,25,25,1,0.1,216.77974768194292,3356,357,2666,690,83518,True
415,4039,1,0.2,25,25,1,0.1,281.3543168238356,3416,368,2745,671,83548,False
416,4039,1,0.2,25,25,1,0.1,312.23425073677134,3298,353,2655,643,83526,True
417,4039,1,0.2,25,25,1,0.1,220.15903767281398,3467,390,2802,665,84688,False
418,4039,1,0.2,25,25,1,0.1,211.40965215558512,1992,227,1611,381,49129,True
419,4039,1,0.2,25,25,1,0.1,215.816982421622,3481,352,2807,674,88904,False
420,4039,1,0.2,25,25,1,0.1,178.5201599928231,636,73,502,134,15933,True
421,4039,1,0.2,25,25,1,0.1,241.875134558826,3369,370,2683,686,82406,False
422,4039,1,0.2,25,25,1,0.1,262.87709965525846,3297,381,2653,644,83179,True
423,4039,1,0.2,25,25,1,0.1,218.88089650628203,3444,372,2761,683,85593,False
424,4039,1,0.2,25,25,1,0.1,313.5145876958566,3346,365,2685,661,84787,True
425,4039,1,0.2,25,25,1,0.1,227.1692333731907,3399,401,2695,704,84909,False
426,4039,1,0.2,25,25,1,0.1,277.321571260498,3212,377,2581,631,78892,True
427,4039,1,0.2,25,25,1,0.1,213.24643814537848,3308,366,2638,670,81510,False
428,4039,1,0.2,25,25,1,0.1,237.29398760636056,3237,352,2569,668,80771,True
429,4039,1,0.2,25,25,1,0.1,230.93715274476838,3392,358,2701,691,84544,False
430,4039,1,0.2,25,25,1,0.1,345.9610164399417,2717,314,2177,540,67351,True
431,4039,1,0.2,25,25,1,0.1,217.71640705492763,2908,323,2310,598,73102,False
432,4039,1,0.2,25,25,1,0.1,264.1202938793239,3285,373,2636,649,81604,True
433,4039,1,0.2,25,25,1,0.1,195.59367145284625,3274,324,2614,660,82498,False
434,4039,1,0.2,25,25,1,0.1,238.07226129753678,3216,330,2572,644,79556,True
435,4039,1,0.2,25,25,1,0.1,280.77862250292475,3411,391,2727,684,87774,False
